game_p_0,simu_p_0,game_p_1,simu_p_1,game_p_2,simu_p_2,game_p_3,simu_p_3
0.248,0.268,0.249,0.259,0.266,0.234,0.237,0.239
0.236,0.261,0.268,0.245,0.24,0.269,0.256,0.225
0.239,0.236,0.244,0.24,0.253,0.244,0.264,0.28
0.232,0.261,0.254,0.248,0.251,0.251,0.263,0.24
0.259,0.262,0.252,0.25,0.244,0.227,0.245,0.261
0.249,0.241,0.239,0.285,0.263,0.229,0.249,0.245
0.236,0.246,0.258,0.246,0.259,0.256,0.247,0.252
0.243,0.251,0.25,0.247,0.257,0.249,0.25,0.253
0.241,0.243,0.261,0.249,0.259,0.273,0.239,0.235
0.259,0.24,0.253,0.236,0.264,0.259,0.224,0.265
0.254,0.267,0.26,0.242,0.248,0.23,0.238,0.261
0.255,0.239,0.26,0.23,0.241,0.26,0.244,0.271
0.258,0.265,0.264,0.232,0.232,0.244,0.246,0.259
0.263,0.232,0.256,0.255,0.236,0.262,0.245,0.251
0.222,0.261,0.246,0.235,0.248,0.238,0.284,0.266
0.259,0.286,0.25,0.248,0.239,0.243,0.252,0.223
0.244,0.26,0.232,0.259,0.262,0.234,0.262,0.247
0.245,0.248,0.237,0.249,0.257,0.26,0.261,0.243
0.244,0.257,0.259,0.238,0.238,0.27,0.259,0.235
0.23,0.23,0.267,0.28,0.274,0.273,0.229,0.217
0.241,0.238,0.249,0.253,0.244,0.258,0.266,0.251
0.256,0.276,0.266,0.242,0.24,0.218,0.238,0.264
0.258,0.249,0.248,0.239,0.252,0.258,0.242,0.254
0.245,0.231,0.25,0.25,0.26,0.263,0.245,0.256
0.252,0.275,0.212,0.227,0.251,0.216,0.285,0.282
0.255,0.226,0.248,0.272,0.257,0.259,0.24,0.243
0.241,0.259,0.244,0.257,0.265,0.243,0.25,0.241
0.23,0.229,0.232,0.278,0.286,0.234,0.252,0.259
0.255,0.25,0.263,0.285,0.256,0.221,0.226,0.244
0.242,0.249,0.237,0.233,0.285,0.262,0.236,0.256
0.24,0.27,0.27,0.237,0.237,0.243,0.253,0.25
0.236,0.253,0.264,0.284,0.247,0.227,0.253,0.236
0.249,0.254,0.242,0.253,0.273,0.254,0.236,0.239
0.264,0.24,0.271,0.257,0.235,0.238,0.23,0.265
0.269,0.237,0.242,0.273,0.228,0.231,0.261,0.259
0.249,0.24,0.281,0.24,0.249,0.264,0.221,0.256
0.237,0.249,0.236,0.254,0.291,0.255,0.236,0.242
0.257,0.234,0.243,0.234,0.259,0.257,0.241,0.275
0.244,0.267,0.255,0.215,0.253,0.269,0.248,0.249
0.264,0.263,0.259,0.255,0.22,0.247,0.257,0.235
0.246,0.259,0.262,0.257,0.235,0.241,0.257,0.243
0.256,0.246,0.252,0.255,0.249,0.257,0.243,0.242
0.257,0.239,0.244,0.252,0.265,0.239,0.234,0.27
0.255,0.246,0.249,0.248,0.254,0.262,0.242,0.244
0.256,0.234,0.247,0.275,0.263,0.241,0.234,0.25
0.255,0.26,0.269,0.251,0.223,0.243,0.253,0.246
0.26,0.263,0.227,0.243,0.255,0.26,0.258,0.234
0.262,0.253,0.236,0.233,0.245,0.271,0.257,0.243
0.258,0.264,0.247,0.234,0.236,0.261,0.259,0.241
0.265,0.249,0.25,0.269,0.271,0.232,0.214,0.25
0.265,0.251,0.263,0.243,0.254,0.257,0.218,0.249
0.244,0.243,0.27,0.257,0.25,0.25,0.236,0.25
0.251,0.222,0.267,0.253,0.24,0.264,0.242,0.261
0.262,0.241,0.24,0.254,0.263,0.245,0.235,0.26
0.261,0.251,0.25,0.253,0.246,0.251,0.243,0.245
0.266,0.269,0.254,0.237,0.255,0.263,0.225,0.231
0.247,0.242,0.259,0.24,0.259,0.25,0.235,0.268
0.257,0.25,0.216,0.237,0.265,0.244,0.262,0.269
0.24,0.242,0.245,0.266,0.257,0.246,0.258,0.246
0.238,0.251,0.267,0.258,0.251,0.231,0.244,0.26
0.241,0.265,0.256,0.231,0.259,0.265,0.244,0.239
0.251,0.243,0.243,0.276,0.262,0.241,0.244,0.24
0.257,0.252,0.26,0.239,0.243,0.24,0.24,0.269
0.252,0.222,0.265,0.259,0.234,0.262,0.249,0.257
0.235,0.247,0.258,0.252,0.261,0.251,0.246,0.25
0.234,0.246,0.268,0.266,0.245,0.241,0.253,0.247
0.249,0.231,0.244,0.263,0.271,0.267,0.236,0.239
0.233,0.267,0.25,0.258,0.25,0.228,0.267,0.247
0.255,0.253,0.255,0.238,0.24,0.256,0.25,0.253
0.241,0.235,0.251,0.245,0.257,0.27,0.251,0.25
0.249,0.257,0.268,0.239,0.256,0.231,0.227,0.273
0.239,0.251,0.254,0.251,0.268,0.258,0.239,0.24
0.246,0.209,0.26,0.255,0.249,0.271,0.245,0.265
0.245,0.258,0.261,0.253,0.252,0.229,0.242,0.26
0.257,0.238,0.226,0.235,0.262,0.263,0.255,0.264
0.257,0.242,0.22,0.255,0.252,0.279,0.271,0.224
0.251,0.225,0.244,0.26,0.255,0.272,0.25,0.243
0.241,0.223,0.259,0.256,0.272,0.279,0.228,0.242
0.218,0.245,0.266,0.248,0.242,0.254,0.274,0.253
0.257,0.255,0.248,0.252,0.243,0.237,0.252,0.256
0.234,0.27,0.263,0.258,0.247,0.236,0.256,0.236
0.263,0.271,0.246,0.233,0.227,0.25,0.264,0.246
0.267,0.274,0.25,0.241,0.254,0.244,0.229,0.241
0.268,0.245,0.269,0.255,0.239,0.253,0.224,0.247
0.271,0.255,0.239,0.234,0.226,0.257,0.264,0.254
0.236,0.263,0.244,0.233,0.248,0.236,0.272,0.268
0.242,0.268,0.243,0.24,0.264,0.24,0.251,0.252
0.245,0.26,0.244,0.251,0.264,0.242,0.247,0.247
0.256,0.252,0.269,0.257,0.252,0.232,0.223,0.259
0.218,0.244,0.241,0.252,0.266,0.253,0.275,0.251
0.245,0.261,0.24,0.256,0.258,0.236,0.257,0.247
0.262,0.26,0.255,0.268,0.227,0.22,0.256,0.252
0.255,0.267,0.271,0.223,0.23,0.264,0.244,0.246
0.226,0.249,0.26,0.25,0.233,0.247,0.281,0.254
0.236,0.269,0.265,0.269,0.275,0.214,0.224,0.248
0.242,0.245,0.277,0.257,0.24,0.265,0.241,0.233
0.226,0.255,0.228,0.244,0.266,0.261,0.28,0.24
0.248,0.263,0.237,0.256,0.257,0.245,0.258,0.236
0.244,0.271,0.248,0.253,0.244,0.24,0.264,0.236
0.245,0.229,0.223,0.268,0.25,0.245,0.282,0.258
0.252,0.264,0.242,0.256,0.262,0.247,0.244,0.233
0.252,0.236,0.235,0.269,0.256,0.254,0.257,0.241
0.251,0.247,0.24,0.285,0.239,0.229,0.27,0.239
0.252,0.263,0.249,0.229,0.261,0.257,0.238,0.251
0.244,0.226,0.233,0.271,0.247,0.244,0.276,0.259
0.267,0.25,0.249,0.231,0.228,0.245,0.256,0.274
0.243,0.269,0.275,0.253,0.228,0.241,0.254,0.237
0.242,0.265,0.25,0.236,0.253,0.264,0.255,0.235
0.271,0.262,0.241,0.247,0.242,0.235,0.246,0.256
0.256,0.245,0.249,0.244,0.264,0.239,0.231,0.272
0.236,0.242,0.234,0.257,0.27,0.251,0.26,0.25
0.232,0.242,0.232,0.257,0.273,0.247,0.263,0.254
0.252,0.259,0.269,0.253,0.241,0.246,0.238,0.242
0.254,0.263,0.262,0.242,0.253,0.232,0.231,0.263
0.224,0.258,0.247,0.259,0.271,0.24,0.258,0.243
0.251,0.228,0.25,0.242,0.258,0.262,0.241,0.268
0.252,0.238,0.225,0.241,0.253,0.274,0.27,0.247
0.26,0.256,0.243,0.257,0.228,0.25,0.269,0.237
0.263,0.248,0.245,0.25,0.264,0.262,0.228,0.24
