game_p_0,simu_p_0,game_p_1,simu_p_1,game_p_2,simu_p_2,game_p_3,simu_p_3
0.246,0.271,0.264,0.248,0.241,0.252,0.249,0.229
0.267,0.27,0.257,0.253,0.245,0.224,0.231,0.253
0.27,0.259,0.231,0.243,0.245,0.252,0.254,0.246
0.249,0.251,0.234,0.25,0.258,0.251,0.259,0.248
0.262,0.26,0.276,0.248,0.228,0.246,0.234,0.246
0.266,0.226,0.215,0.266,0.25,0.241,0.269,0.267
0.286,0.277,0.245,0.263,0.236,0.221,0.233,0.239
0.262,0.25,0.226,0.255,0.241,0.264,0.271,0.231
0.27,0.254,0.239,0.243,0.232,0.247,0.259,0.256
0.276,0.231,0.244,0.259,0.251,0.24,0.229,0.27
0.269,0.246,0.253,0.241,0.246,0.24,0.232,0.273
0.272,0.269,0.23,0.238,0.265,0.238,0.233,0.255
0.274,0.257,0.246,0.229,0.245,0.256,0.235,0.258
0.28,0.239,0.233,0.245,0.267,0.265,0.22,0.251
0.24,0.248,0.276,0.267,0.237,0.237,0.247,0.248
0.267,0.252,0.239,0.24,0.263,0.254,0.231,0.254
0.264,0.25,0.251,0.263,0.243,0.236,0.242,0.251
0.277,0.249,0.246,0.244,0.242,0.259,0.235,0.248
0.263,0.254,0.252,0.243,0.249,0.256,0.236,0.247
0.25,0.275,0.254,0.249,0.253,0.246,0.243,0.23
0.267,0.244,0.243,0.252,0.251,0.261,0.239,0.243
0.26,0.254,0.256,0.263,0.229,0.239,0.255,0.244
0.292,0.258,0.234,0.271,0.253,0.232,0.221,0.239
0.258,0.247,0.258,0.28,0.225,0.252,0.259,0.221
0.278,0.245,0.247,0.264,0.197,0.239,0.278,0.252
0.253,0.237,0.249,0.266,0.269,0.266,0.229,0.231
0.284,0.243,0.249,0.237,0.221,0.266,0.246,0.254
0.266,0.266,0.256,0.261,0.238,0.242,0.24,0.231
0.247,0.223,0.252,0.258,0.252,0.26,0.249,0.259
0.256,0.239,0.254,0.254,0.25,0.242,0.24,0.265
0.237,0.24,0.274,0.259,0.253,0.251,0.236,0.25
0.265,0.258,0.254,0.248,0.243,0.25,0.238,0.244
0.28,0.26,0.24,0.251,0.231,0.252,0.249,0.237
0.288,0.237,0.227,0.266,0.239,0.245,0.246,0.252
0.282,0.263,0.243,0.236,0.244,0.24,0.231,0.261
0.265,0.228,0.242,0.246,0.259,0.256,0.234,0.27
0.275,0.255,0.271,0.246,0.237,0.257,0.217,0.242
0.264,0.279,0.249,0.208,0.248,0.26,0.239,0.253
0.294,0.256,0.246,0.258,0.243,0.235,0.217,0.251
0.283,0.237,0.23,0.245,0.239,0.257,0.248,0.261
0.287,0.229,0.256,0.274,0.228,0.273,0.229,0.224
0.241,0.237,0.266,0.279,0.253,0.242,0.24,0.242
0.28,0.236,0.257,0.254,0.24,0.253,0.223,0.257
0.272,0.238,0.248,0.255,0.224,0.255,0.256,0.252
0.25,0.238,0.26,0.252,0.253,0.25,0.237,0.26
0.287,0.259,0.227,0.262,0.246,0.238,0.24,0.241
0.245,0.271,0.239,0.232,0.282,0.255,0.234,0.242
0.259,0.238,0.243,0.271,0.26,0.253,0.238,0.238
0.249,0.274,0.237,0.228,0.259,0.262,0.255,0.236
0.246,0.252,0.254,0.253,0.27,0.261,0.23,0.234
0.271,0.26,0.239,0.254,0.232,0.246,0.258,0.24
