replicate_id,winner,plus4s_0,plus4s_1,plus4s_2,plus4s_3
693,3,0,0,0,2
694,0,0,0,1,0
695,3,0,1,0,1
696,3,1,1,0,0
697,3,1,0,1,1
698,0,0,0,0,0
699,1,0,0,1,0
700,3,0,0,0,0
701,1,0,1,0,0
702,1,0,1,0,0
703,1,0,1,0,1
704,1,0,1,0,0
705,0,1,0,0,0
706,3,0,0,0,1
707,1,0,2,1,0
708,3,1,0,0,0
709,1,2,0,0,0
710,3,1,1,0,0
711,0,1,0,0,1
712,1,0,1,1,0
713,0,0,0,0,0
714,3,0,1,0,0
715,3,1,1,1,1
716,1,1,0,1,0
717,0,0,0,1,0
718,0,0,1,0,0
719,0,0,0,0,0
720,3,0,0,0,0
721,3,0,0,1,1
722,2,1,0,1,1
723,0,3,0,0,1
724,2,0,1,2,0
725,2,0,1,0,0
726,0,2,0,0,0
727,3,0,0,0,0
728,3,0,0,1,0
729,0,0,0,0,0
730,2,2,0,0,0
731,1,0,1,0,0
732,2,0,0,0,0
733,2,1,0,0,0
734,3,0,0,0,1
735,0,1,0,0,0
736,1,0,2,0,0
737,1,0,0,0,0
738,1,0,1,0,0
739,0,0,0,0,0
740,2,1,0,1,1
741,3,0,0,2,2
742,0,1,1,1,0
743,1,2,0,0,1
744,3,0,0,0,0
745,0,0,0,1,0
746,3,1,0,0,0
747,1,1,0,0,1
748,0,1,0,1,1
749,1,0,0,0,0
750,2,1,0,0,0
751,3,1,0,0,0
752,0,1,0,0,0
753,0,1,1,0,0
754,1,1,0,0,0
755,1,0,1,0,1
756,1,0,0,1,0
757,3,0,1,0,0
758,1,0,0,0,1
759,1,0,0,0,3
760,3,0,2,0,0
761,3,0,2,0,0
762,0,0,1,0,0
763,2,0,0,1,1
764,1,0,2,0,1
765,0,2,1,1,0
766,1,0,0,0,0
767,2,0,1,1,1
768,1,0,0,0,1
769,2,1,0,1,0
770,1,0,0,0,1
771,0,1,0,0,0
772,2,0,0,0,0
773,0,0,0,0,0
774,1,0,0,1,0
775,0,1,2,0,0
776,3,0,1,0,1
777,2,0,0,0,1
778,1,0,0,0,0
779,1,0,0,1,1
780,2,1,1,0,0
781,2,0,1,0,0
782,1,0,0,2,0
783,0,0,0,0,0
784,3,0,0,0,0
785,1,0,0,0,2
786,0,0,0,1,1
787,2,0,0,2,0
788,3,0,0,0,1
789,0,1,0,0,0
790,1,1,1,0,0
791,3,0,0,1,1
792,3,0,0,0,1
793,3,0,3,1,0
794,1,0,1,1,0
795,0,1,1,0,0
796,1,0,0,1,0
797,0,0,0,2,0
798,0,0,0,0,0
799,1,0,0,0,1
800,1,0,1,1,0
801,1,1,0,0,0
802,3,0,0,0,0
803,0,1,0,1,1
804,3,0,0,0,2
805,3,1,1,0,0
806,0,0,0,0,0
807,1,0,0,0,0
808,1,0,0,0,0
809,0,0,0,1,0
810,3,0,0,0,0
811,0,0,1,1,0
812,2,0,0,0,0
813,2,1,0,0,0
814,2,0,0,1,0
815,1,0,0,1,0
816,1,0,0,0,0
817,1,0,1,1,1
818,0,1,0,0,1
819,1,0,0,0,0
820,2,0,0,1,0
821,0,1,0,0,2
822,0,0,0,0,1
823,0,0,1,0,0
824,1,0,0,0,1
825,0,2,0,0,1
826,2,0,0,0,0
827,2,0,0,1,0
828,2,1,1,0,0
829,3,0,1,1,0
830,2,0,0,2,0
831,0,0,0,0,0
832,1,1,1,0,0
833,2,0,0,0,1
834,0,0,0,1,0
835,1,0,1,1,0
836,2,0,0,0,0
837,2,1,0,1,0
838,0,1,0,0,0
839,0,0,1,1,0
840,3,1,1,0,0
841,0,0,0,1,1
842,2,0,0,1,0
843,2,0,0,0,0
844,2,0,0,1,0
845,3,0,0,0,1
846,3,0,0,1,0
847,3,1,0,0,1
848,2,1,0,1,0
849,2,1,1,0,0
850,3,0,1,0,0
851,3,0,0,0,0
852,1,0,0,1,0
853,0,1,0,2,0
854,1,0,1,0,0
855,1,0,0,0,0
856,0,0,0,2,1
857,2,0,1,2,1
858,0,0,1,0,0
859,0,1,0,0,1
860,0,1,0,0,1
861,0,0,0,0,1
862,3,0,1,0,0
863,3,0,0,0,1
864,3,0,1,0,0
865,2,0,0,0,0
866,1,0,0,2,0
867,1,0,1,1,0
868,0,1,0,0,0
869,1,0,1,0,0
870,2,1,0,0,0
871,2,1,0,0,0
872,0,1,1,1,0
873,1,0,1,0,0
874,1,0,1,0,0
875,3,0,0,0,0
876,1,0,0,1,2
877,2,1,0,1,0
878,0,0,1,1,1
879,2,0,0,0,0
880,3,1,0,0,0
881,2,0,0,0,0
882,1,0,1,1,0
883,0,2,2,0,0
884,0,1,0,0,0
885,3,1,0,0,1
886,3,1,1,0,2
887,0,1,1,1,0
888,1,1,0,0,0
889,1,0,0,0,0
890,2,0,0,1,0
891,3,0,0,0,1
892,1,0,0,0,1
893,3,0,0,0,0
894,0,0,2,1,1
895,0,0,0,2,0
896,2,0,0,0,1
897,2,0,1,0,0
898,0,0,1,1,0
899,2,0,0,0,0
900,3,1,1,0,1
901,0,0,0,1,1
902,2,0,0,0,0
903,3,0,1,0,0
904,1,0,0,0,1
905,0,0,0,3,0
906,1,0,2,0,0
907,0,1,0,1,0
908,3,0,1,0,0
909,0,1,0,1,2
910,0,0,0,1,0
911,2,0,0,1,0
912,1,0,0,0,0
913,0,0,0,1,0
914,0,0,0,0,1
915,1,0,2,0,0
916,0,2,0,1,0
917,2,0,0,1,0
918,1,0,0,1,0
919,1,0,0,0,0
920,2,0,0,0,1
921,1,0,1,1,1
922,1,0,0,0,1
923,0,1,0,1,0
924,0,1,0,1,0
925,0,0,1,0,2
926,0,0,0,1,1
927,0,1,0,0,0
928,2,0,0,0,0
929,0,0,1,1,1
930,1,1,1,0,0
931,2,0,0,0,0
932,3,1,0,0,0
933,1,1,1,0,0
934,2,0,1,0,0
935,1,0,0,0,0
936,2,0,1,0,0
937,1,0,0,0,0
938,1,0,0,0,0
939,2,1,0,1,0
940,1,0,0,0,0
941,0,0,0,1,0
942,1,0,3,1,0
943,2,0,0,0,0
944,1,1,0,0,1
945,1,1,0,0,0
946,0,0,0,0,0
947,1,0,1,0,1
948,1,0,0,0,0
949,3,0,1,0,0
950,1,0,0,0,1
951,0,0,1,0,2
952,2,1,0,1,1
953,0,1,0,0,0
954,3,0,1,0,0
955,2,0,0,0,0
956,2,0,0,0,0
957,0,0,0,2,0
958,3,1,0,0,1
959,1,2,0,1,0
960,1,0,0,0,0
961,3,1,1,0,0
962,1,1,0,0,0
963,2,1,0,0,1
964,2,0,0,0,1
965,0,1,0,2,0
966,2,1,0,0,0
967,3,0,0,0,0
968,3,0,1,0,0
969,0,0,1,0,0
970,2,1,0,0,0
971,3,1,0,0,0
972,0,1,0,1,0
973,0,1,2,0,0
974,3,1,0,0,0
975,1,0,0,0,0
976,2,0,0,0,1
977,0,0,0,1,0
978,2,0,1,0,0
979,1,1,1,0,0
980,2,2,0,0,1
981,0,0,0,1,1
982,2,0,1,0,0
983,1,0,0,1,1
984,1,0,1,0,1
985,3,2,0,0,0
986,1,0,0,0,3
987,0,0,0,1,0
988,2,1,0,1,0
989,3,1,1,0,1
990,0,1,0,0,0
991,3,0,1,0,1
992,1,0,1,0,0
993,1,0,2,0,0
994,0,0,0,0,0
995,2,1,0,1,1
996,3,1,0,0,1
997,3,0,1,0,0
998,0,1,0,0,0
